Setting interface address, interface = large_topologywithrouting7.upper2router2.ppp1, address = 10.0.70.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.upper2router2.ppp4, address = 10.0.71.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.upperrouter6.ppp3, address = 10.0.71.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw2DC5.ppp0, address = 10.0.72.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.DC5.ppp1, address = 10.0.72.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw2DC5.pppInterface, address = 10.0.73.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.upperrouter5.ppp1, address = 10.0.73.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.upperrouter5.ppp0, address = 10.0.74.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw1DC5.pppInterface, address = 10.0.74.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.upperrouter5.ppp2, address = 10.0.75.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw3DC5.pppInterface, address = 10.0.75.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.DC5.ppp0, address = 10.0.76.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw1DC5.ppp0, address = 10.0.76.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.DC5.ppp2, address = 10.0.77.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw3DC5.ppp0, address = 10.0.77.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw2DC6.ppp0, address = 10.0.78.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.DC6.ppp1, address = 10.0.78.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw2DC6.pppInterface, address = 10.0.79.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.upperrouter6.ppp1, address = 10.0.79.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.upperrouter6.ppp0, address = 10.0.80.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw1DC6.pppInterface, address = 10.0.80.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.upperrouter6.ppp2, address = 10.0.81.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.pgw3DC6.pppInterface, address = 10.0.81.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.DC6.ppp0, address = 10.0.82.1, netmask = 255.255.255.0
